K,hazard_class,raw_cov,risk_cov
0,1,1.0,0.9999999999999999
0,2,0.8349348255216406,0.8565522184785843
0,3,0.4903830623924722,0.5144151621551182
0,4,0.0,0.0
5,1,1.0,1.0
5,2,0.9368974011778717,0.9495518820659118
5,3,0.4903830623924722,0.5144151621551172
5,4,0.0,0.0
10,1,1.0000000000000024,1.0000000000000029
10,2,0.9999999999999986,0.9999999999999987
10,3,0.5238369439275306,0.5554364800605701
10,4,0.0,0.0
15,1,1.0,1.0
15,2,1.0,1.0
15,3,0.6116147607176714,0.6548682234261927
15,4,0.0,0.0
20,1,1.0,1.0
20,2,1.0,1.0
20,3,0.6993925775078123,0.7409297204871097
20,4,0.0,0.0
25,1,1.0,1.0
25,2,1.0,0.9999999999999999
25,3,0.787170394297953,0.8208484033117327
25,4,0.0,0.0
30,1,1.0000000000000002,1.0000000000000002
30,2,1.0,1.0
30,3,0.8749482110880937,0.8975286064949543
30,4,0.0,0.0
